archivo,estado,motivo,distancia_centroide,z_score_distancia,duracion_util_s,rms_util,clipping_ratio,num_frames_validas,porcentaje_frames_validas,error_lpc_medio
sigue_11.wav,bueno,apto técnico y cercano al centroide,0.041583,-0.912435,0.51,0.046846,0.000125,62,1.0,0.023546
sigue_12.wav,bueno,apto técnico y cercano al centroide,0.054117,0.2262,0.518,0.052006,0.000312,63,1.0,0.025113
sigue_13.wav,bueno,apto técnico y cercano al centroide,0.038412,-1.200533,0.51,0.046133,0.000188,62,1.0,0.020067
sigue_15.wav,bueno,apto técnico y cercano al centroide,0.043023,-0.781665,0.534,0.042759,6.2e-05,65,1.0,0.019243
sigue_16.wav,bueno,apto técnico y cercano al centroide,0.050329,-0.117964,0.566,0.041382,6.2e-05,69,1.0,0.01836
sigue_19.wav,bueno,apto técnico y cercano al centroide,0.03822,-1.217928,0.542,0.040508,0.000375,66,1.0,0.016303
sigue_2.wav,malo,outlier respecto al centroide,0.074527,2.080343,0.51,0.040065,6.2e-05,62,1.0,0.022125
sigue_23.wav,bueno,apto técnico y cercano al centroide,0.05912,0.680703,0.606,0.046534,0.000188,74,1.0,0.024217
sigue_5.wav,bueno,apto técnico y cercano al centroide,0.058066,0.584906,0.502,0.053164,0.000125,61,1.0,0.030424
sigue_9.wav,bueno,apto técnico y cercano al centroide,0.058874,0.658372,0.534,0.038292,6.2e-05,65,1.0,0.018034
