palabra,estado,A_1_1,A_1_2,A_1_3,A_1_4,A_1_5,A_2_1,A_2_2,A_2_3,A_2_4,A_2_5,A_3_1,A_3_2,A_3_3,A_3_4,A_3_5,A_4_1,A_4_2,A_4_3,A_4_4,A_4_5,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5
arranca,1,0.9442896935933147,0.05571030640668524,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
arranca,2,,,,,,0.0,0.9438990182328191,0.05610098176718093,0.0,0.0,,,,,,,,,,,,,,,
arranca,3,,,,,,,,,,,0.0,0.0,0.9434229137199435,0.056577086280056574,0.0,,,,,,,,,,
arranca,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9421965317919075,0.057803468208092484,,,,,
arranca,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
almacen,1,0.937791601866252,0.06220839813374806,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
almacen,2,,,,,,0.0,0.9375,0.0625,0.0,0.0,,,,,,,,,,,,,,,
almacen,3,,,,,,,,,,,0.0,0.0,0.9365079365079365,0.06349206349206349,0.0,,,,,,,,,,
almacen,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9347471451876019,0.06525285481239805,,,,,
almacen,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
base,1,0.9306759098786829,0.06932409012131716,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
base,2,,,,,,0.0,0.9299474605954466,0.07005253940455342,0.0,0.0,,,,,,,,,,,,,,,
base,3,,,,,,,,,,,0.0,0.0,0.9293286219081273,0.0706713780918728,0.0,,,,,,,,,,
base,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.927797833935018,0.07220216606498195,,,,,
base,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
recoge,1,0.9453551912568307,0.0546448087431694,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
recoge,2,,,,,,0.0,0.9449035812672176,0.05509641873278237,0.0,0.0,,,,,,,,,,,,,,,
recoge,3,,,,,,,,,,,0.0,0.0,0.9445983379501385,0.055401662049861494,0.0,,,,,,,,,,
recoge,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9432624113475178,0.05673758865248227,,,,,
recoge,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
suelo,1,0.9309153713298791,0.0690846286701209,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
suelo,2,,,,,,0.0,0.929701230228471,0.070298769771529,0.0,0.0,,,,,,,,,,,,,,,
suelo,3,,,,,,,,,,,0.0,0.0,0.9292035398230089,0.07079646017699115,0.0,,,,,,,,,,
suelo,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.927797833935018,0.07220216606498195,,,,,
suelo,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
mira,1,0.933993399339934,0.066006600660066,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
mira,2,,,,,,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,,,,,,,,,,,,,,,
mira,3,,,,,,,,,,,0.0,0.0,0.9326599326599326,0.06734006734006734,0.0,,,,,,,,,,
mira,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9306759098786829,0.06932409012131716,,,,,
mira,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
izquierda,1,0.937791601866252,0.06220839813374806,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
izquierda,2,,,,,,0.0,0.9368088467614534,0.06319115323854661,0.0,0.0,,,,,,,,,,,,,,,
izquierda,3,,,,,,,,,,,0.0,0.0,0.9357945425361156,0.06420545746388444,0.0,,,,,,,,,,
izquierda,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.934640522875817,0.06535947712418301,,,,,
izquierda,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
grua,1,0.927536231884058,0.07246376811594203,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
grua,2,,,,,,0.0,0.926605504587156,0.07339449541284404,0.0,0.0,,,,,,,,,,,,,,,
grua,3,,,,,,,,,,,0.0,0.0,0.9257884972170687,0.07421150278293136,0.0,,,,,,,,,,
grua,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9242424242424242,0.07575757575757576,,,,,
grua,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
freno,1,0.9164926931106472,0.08350730688935282,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
freno,2,,,,,,0.0,0.9150743099787686,0.08492569002123142,0.0,0.0,,,,,,,,,,,,,,,
freno,3,,,,,,,,,,,0.0,0.0,0.9141630901287554,0.08583690987124463,0.0,,,,,,,,,,
freno,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9120879120879121,0.08791208791208792,,,,,
freno,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
entrega,1,0.9344262295081968,0.06557377049180328,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
entrega,2,,,,,,0.0,0.9335548172757475,0.06644518272425248,0.0,0.0,,,,,,,,,,,,,,,
entrega,3,,,,,,,,,,,0.0,0.0,0.9327731092436975,0.06722689075630252,0.0,,,,,,,,,,
entrega,4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9318568994889268,0.06814310051107325,,,,,
entrega,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
